symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
5_8S_rRNA	0				
5S_rRNA	0.038652561	0.011815381	0.311794451	0.971089085	
7SK	0.51703719	0.037898383	0.312597745	0.450216859	
A1BG	595.0006409	-0.444094261	0.375012303	0.040790185	0.166219211
A1BG-AS1	391.7927094	0.007164453	0.170553909	0.961458469	0.985126295
A1CF	0.08418878	-0.015339692	0.312106759	0.824347748	
A2M	281.2406688	-0.11357338	0.316603583	0.304261007	0.563004976
A2M-AS1	7.184133953	0.17417848	0.335307961	0.202379646	0.449579492
A2ML1	0				
A2ML1-AS1	0				
A2ML1-AS2	0				
A2MP1	0				
A3GALT2	1.622247953	0.134263232	0.344305834	0.099039157	0.290092633
A4GALT	170.6418691	0.154213263	0.330959246	0.224752468	0.477430157
A4GNT	0				
AA06	0				
AAAS	1355.570585	-0.39383603	0.197307324	0.015172876	0.08668208
AACS	1524.810232	-0.159320861	0.153676549	0.234161211	0.488633629
AACSP1	0.068965282	0.0138549	0.311931902	0.971089085	
AADAC	0				
AADACL2	0				
AADACL2-AS1	0.038652561	0.011815381	0.311794451	0.971089085	
AADACL3	0				
AADACL4	0				
AADACP1	0				
AADAT	409.0809111	0.183038371	0.185160003	0.225875591	0.478628096
AAGAB	1446.93054	0.092276703	0.190566752	0.547169297	0.770073275
AAK1	1659.721309	-0.048471498	0.199387539	0.7531049	0.891671442
AAMDC	293.2685342	-0.694657564	0.267462602	0.001184048	0.01445807
AAMP	3160.674632	-0.007284046	0.129196482	0.94765437	0.978429699
AANAT	0.696515554	-0.035829241	0.309707109	0.470781246	
AAR2	1524.690208	0.118727733	0.106464108	0.239326403	0.494922052
AARD	23.84139445	0.064101825	0.265348344	0.66372288	0.84334213
AARS1	6353.366723	0.474740741	0.325429644	0.027304637	0.127598622
AARS1P1	0				
AARS2	657.22246	-0.329179184	0.188630177	0.034515634	0.149261794
AARSD1	855.8995368	-0.363154811	0.14450052	0.005243978	0.041718553
AARSD1P1	5.213040935	0.098438193	0.300415391	0.430152723	0.681242929
AASDH	364.1506649	-0.231758144	0.118698378	0.034109054	0.148383106
AASDHPPT	978.2224605	-0.018627032	0.150386397	0.886111683	0.953176643
AASS	1316.594043	-0.246954431	0.187034799	0.112994214	0.315253706
AATBC	0.456496475	-0.004733443	0.310220862	0.821165492	
AATF	1441.258032	-0.183759745	0.11993306	0.094693609	0.282175974
AATK	14.8183993	-0.49568478	0.734133555	0.024071583	0.117627225
ABALON	6.491255165	0.0106488	0.258099518	0.942762395	0.976848243
ABAT	276.6888493	0.070039202	0.186440525	0.644023942	0.829815089
ABBA01000933.1	0				
ABBA01000935.2	0.045083047	0.012384388	0.311828219	0.971089085	
ABBA01006766.1	0				
