Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	FAUX	1084.346	62	126	573	109	2647	280.6	6.06	1959.77	126	"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus"	"protein binding;RNA binding;signal transducer activity"	Pf00307, Pf00630	2316	ENSG00000196924.14	FLNA	X	"MAPK signaling pathway; Focal adhesion; Proteoglycans in cancer; Salmonella infection"	"Platelet degranulation ; RHO GTPases activate PAKs; Cell-extracellular matrix interactions; GP1b-IX-V activation signalling"	"Androgen receptor signaling pathway; Prolactin Signaling Pathway; Focal Adhesion; Hypothesized Pathways in Pathogenesis of Cardiovascular Disease; MAPK Signaling Pathway; IL-4 Signaling Pathway"	22	1.213	1.079	0.888	0.28	0.11	-0.17	0.367040381	0.724383559	0.951189987	0.840754658	0.990871106	0.998956223	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P02751	Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	FAUX	1079.65	55	92	607	92	2477	272.2	5.5	2264.21	92												0	1.345	2.15	1.549	0.43	1.1	0.63	0.126719788	0.023851888	0.049100871	0.502647735	0.208297722	0.357915304	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	FAUX	982.475	47	210	614	209	4684	531.5	5.96	1846.15	210	cell organization and biogenesis	"cytoplasm;cytoskeleton;cytosol;membrane"	"protein binding;RNA binding;structural molecule activity"	Pf00307, Pf00681, Pf03501, Pf07812	5339	ENSG00000178209.14	PLEC	8		"Assembly of collagen fibrils and other multimeric structures; Caspase-mediated cleavage of cytoskeletal proteins; Type I hemidesmosome assembly"		11	1.316	1.348	1.035	0.4	0.43	0.05	0.163505251	0.333234127	0.619241739	0.571962372	0.881722654	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	FAUX	904.083	56	105	519	83	1960	226.4	5.6	1776.57	105	"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus"	"catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity"	Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094	4627	ENSG00000100345.20	MYH9	22	"Tight junction; Salmonella infection; Regulation of actin cytoskeleton"	"RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate CIT; RHO GTPases activate PKNs"	"Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway"	23	1.543	1.129	0.741	0.63	0.18	-0.43	0.01834301	0.632266805	0.470778459	0.138462116	0.984753414	0.952976831	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P12111	Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	FAUX	835.126	49	124	478	124	3177	343.5	6.68	1541.32	124	"cell organization and biogenesis;metabolic process;regulation of biological process"	"extracellular;membrane;organelle lumen"	"enzyme regulator activity;protein binding"	Pf00014, Pf00041, Pf00092, Pf01391, Pf13519, Pf13768	1293	ENSG00000163359.15	COL6A3	2	"Protein digestion and absorption; Focal adhesion; ECM-receptor interaction; PI3K-Akt signaling pathway"	"ECM proteoglycans; Collagen degradation; Integrin cell surface interactions; Assembly of collagen fibrils and other multimeric structures; Collagen chain trimerization; NCAM1 interactions; Signaling by PDGF"	miRNA targets in ECM and membrane receptors	21	2.071	2.789	1.291	1.05	1.48	0.37	3.51356E-05	0.002881734	0.192191686	0.000539462	0.049602518	0.746597129	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y490	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	FAUX	655.708	51	92	309	92	2541	269.6	6.07	1082.36	92	"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport"	"cell surface;cytoplasm;cytoskeleton;cytosol;extracellular;membrane"	"protein binding;structural molecule activity"	Pf00373, Pf01608, Pf02174, Pf08913, Pf09141, Pf09379	7094	ENSG00000137076.20	TLN1	9	"Rap1 signaling pathway; HTLV-I infection; Focal adhesion; Platelet activation"	"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion; Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; Smooth Muscle Contraction; XBP1(S) activates chaperone genes; GRB2:SOS provides linkage to MAPK signaling for Integrins ; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; p130Cas linkage to MAPK signaling for integrins; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Interleukin-20 family signaling"	"Integrin-mediated Cell Adhesion; Primary Focal Segmental Glomerulosclerosis FSGS; Focal Adhesion"	43	1.241	1.083	0.893	0.31	0.11	-0.16	0.298973039	0.717787478	0.96868227	0.768363522	0.990871106	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P02671	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	FAUX	599.453	53	47	1146	47	866	94.9	6.01	3470.54	47	"cell organization and biogenesis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;extracellular;membrane;organelle lumen"	"metal ion binding;protein binding;structural molecule activity"	Pf00147, Pf02414, Pf08702, Pf12160	2243	ENSG00000171560.14	FGA	4	"Complement and coagulation cascades; Platelet activation"	"Post-translational protein phosphorylation; Integrin cell surface interactions; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Signaling by BRAF and RAF fusions; Amyloid fiber formation; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; p130Cas linkage to MAPK signaling for integrins; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Common Pathway of Fibrin Clot Formation; Regulation of TLR by endogenous ligand; Interleukin-20 family signaling"	"Blood Clotting Cascade; VEGFA-VEGFR2 Signaling Pathway"	42	0.725	0.942	1.308	-0.46	-0.09	0.39	0.027123287	0.981940864	0.176535624	0.183172873	0.997621111	0.71190146	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P01024	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	FAUX	587.969	60	85	365	85	1663	187	6.4	1108.84	85	"cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"extracellular;membrane;organelle lumen"	"catalytic activity;enzyme regulator activity;protein binding"	Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974	718	ENSG00000125730.16	C3	19	"Viral carcinogenesis; Chagas disease (American trypanosomiasis); Leishmaniasis; Tuberculosis; Pertussis; Phagosome; Complement and coagulation cascades; Systemic lupus erythematosus; Herpes simplex infection; Staphylococcus aureus infection; Legionellosis"	"Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Alternative complement activation; Peptide ligand-binding receptors; Regulation of Complement cascade; Activation of C3 and C5; Neutrophil degranulation; Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; G alpha (i) signalling events"	"Allograft Rejection; TYROBP Causal Network; Complement Activation; Complement and Coagulation Cascades"	36	0.413	0.411	0.982	-1.28	-1.28	-0.03	1.96319E-08	0.020363249	0.761007253	5.15223E-07	0.18991675	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	sp	ALBU_BOVIN	VRAI	573.971	77	46	652	42	607	69.2	6.18	1876.85	46												0	0.35	0.334	0.938	-1.51	-1.58	-0.09	3.71048E-11	0.003845485	0.88927775	1.70909E-09	0.057861735	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	sp	ALBU_HUMAN	VRAI	516.103	75	42	396	38	609	69.3	6.28	1273	42												0	1.403	1.216	0.87	0.49	0.28	-0.2	0.074538618	0.494516667	0.892481848	0.368126174	0.952676368	0.991883612	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
